cod_ibge,sigla_uf,nome_mun,dummy
1100015,RO,Alta Floresta D'Oeste,1
1100023,RO,Ariquemes,0
1100031,RO,Cabixi,0
1100049,RO,Cacoal,1
1100056,RO,Cerejeiras,0
1100064,RO,Colorado do Oeste,0
1100072,RO,Corumbiara,1
1100080,RO,Costa Marques,1
1100098,RO,Espigão D'Oeste,1
1100106,RO,Guajará-Mirim,1
1100114,RO,Jaru,1
1100122,RO,Ji-Paraná,1
1100130,RO,Machadinho D'Oeste,0
1100148,RO,Nova Brasilândia D'Oeste,0
1100155,RO,Ouro Preto do Oeste,0
1100189,RO,Pimenta Bueno,1
1100205,RO,Porto Velho,1
1100254,RO,Presidente Médici,0
1100262,RO,Rio Crespo,0
1100288,RO,Rolim de Moura,0
1100296,RO,Santa Luzia D'Oeste,0
1100304,RO,Vilhena,1
1100320,RO,São Miguel do Guaporé,1
1100338,RO,Nova Mamoré,1
1100346,RO,Alvorada D'Oeste,1
1100379,RO,Alto Alegre dos Parecis,1
1100403,RO,Alto Paraíso,0
1100452,RO,Buritis,0
1100502,RO,Novo Horizonte do Oeste,0
1100601,RO,Cacaulândia,1
1100700,RO,Campo Novo de Rondônia,1
1100809,RO,Candeias do Jamari,0
1100908,RO,Castanheiras,0
1100924,RO,Chupinguaia,1
1100940,RO,Cujubim,0
1101005,RO,Governador Jorge Teixeira,1
1101104,RO,Itapuã do Oeste,0
1101203,RO,Ministro Andreazza,0
1101302,RO,Mirante da Serra,1
1101401,RO,Monte Negro,1
1101435,RO,Nova União,0
1101450,RO,Parecis,1
1101468,RO,Pimenteiras do Oeste,1
1101476,RO,Primavera de Rondônia,0
1101484,RO,São Felipe D'Oeste,0
1101492,RO,São Francisco do Guaporé,1
1101500,RO,Seringueiras,1
1101559,RO,Teixeirópolis,0
1101609,RO,Theobroma,0
1101708,RO,Urupá,0
1101757,RO,Vale do Anari,0
1101807,RO,Vale do Paraíso,0
1200013,AC,Acrelândia,0
1200054,AC,Assis Brasil,1
1200104,AC,Brasiléia,0
1200138,AC,Bujari,0
1200179,AC,Capixaba,0
1200203,AC,Cruzeiro do Sul,1
1200252,AC,Epitaciolândia,0
1200302,AC,Feijó,1
1200328,AC,Jordão,1
1200336,AC,Mâncio Lima,1
1200344,AC,Manoel Urbano,1
1200351,AC,Marechal Thaumaturgo,1
1200385,AC,Plácido de Castro,0
1200393,AC,Porto Walter,1
1200401,AC,Rio Branco,0
1200427,AC,Rodrigues Alves,0
1200435,AC,Santa Rosa do Purus,1
1200450,AC,Senador Guiomard,0
1200500,AC,Sena Madureira,1
1200609,AC,Tarauacá,1
1200708,AC,Xapuri,0
1200807,AC,Porto Acre,0
1300029,AM,Alvarães,1
1300060,AM,Amaturá,1
1300086,AM,Anamã,1
1300102,AM,Anori,1
1300144,AM,Apuí,0
1300201,AM,Atalaia do Norte,1
1300300,AM,Autazes,1
1300409,AM,Barcelos,1
1300508,AM,Barreirinha,1
1300607,AM,Benjamin Constant,1
1300631,AM,Beruri,1
1300680,AM,Boa Vista do Ramos,0
1300706,AM,Boca do Acre,1
1300805,AM,Borba,1
